normalized-losses,make,fuel,doors,body,drive,weight,engine-size,bhp,mpg,price
95.0,volvo,unleaded,four,saloon,rwd,3012,173,134.0,23,21485.0
85.0,honda,unleaded,four,saloon,fwd,2304,110,86.0,33,8845.0
148.0,dodge,unleaded,four,saloon,fwd,1989,90,68.0,38,6692.0
186.0,porsche,unleaded,two,hatchback,rwd,2778,151,143.0,27,22018.0
95.0,volvo,unleaded,four,saloon,rwd,2952,141,114.0,28,16845.0
137.0,honda,unleaded,two,hatchback,fwd,1713,92,58.0,54,6479.0
81.0,chevrolet,unleaded,four,saloon,fwd,1909,90,70.0,43,6575.0
89.0,subaru,unleaded,four,wagon,fwd,2455,108,94.0,31,10198.0
128.0,nissan,unleaded,two,saloon,fwd,1889,97,69.0,37,5499.0
161.0,peugot,unleaded,four,saloon,rwd,3130,134,142.0,24,18150.0
197.0,toyota,unleaded,two,hatchback,rwd,2976,171,161.0,24,16558.0
115.0,audi,unleaded,two,saloon,fwd,2507,136,110.0,25,15250.0
115.0,renault,unleaded,four,wagon,fwd,2579,132,,31,9295.0
154.0,plymouth,unleaded,four,hatchback,fwd,1967,90,68.0,38,6229.0
161.0,mitsubishi,unleaded,two,hatchback,fwd,1918,92,68.0,41,5389.0
102.0,subaru,unleaded,four,saloon,4wd,2385,108,82.0,25,9233.0
128.0,nissan,unleaded,four,saloon,fwd,3095,181,152.0,22,13499.0
65.0,toyota,unleaded,four,hatchback,fwd,2458,122,92.0,32,11248.0
106.0,nissan,unleaded,four,hatchback,fwd,2324,120,97.0,34,8949.0
65.0,toyota,diesel,four,saloon,fwd,2480,110,73.0,33,10698.0
106.0,nissan,unleaded,four,saloon,fwd,2302,120,97.0,34,9549.0
101.0,honda,unleaded,two,hatchback,fwd,1837,79,60.0,42,5399.0
188.0,bmw,unleaded,four,saloon,rwd,2765,164,121.0,28,21105.0
78.0,honda,unleaded,four,wagon,fwd,2024,92,76.0,34,7295.0
154.0,plymouth,unleaded,four,saloon,fwd,2191,98,68.0,38,7609.0
115.0,isuzu,unleaded,four,saloon,rwd,2337,111,78.0,29,6785.0
103.0,volvo,unleaded,four,saloon,rwd,2912,141,114.0,28,12940.0
103.0,nissan,unleaded,four,wagon,fwd,2024,97,69.0,37,7349.0
83.0,subaru,unleaded,two,hatchback,4wd,2240,108,73.0,31,7603.0
113.0,mazda,unleaded,four,saloon,fwd,1950,91,68.0,38,7395.0
115.0,renault,unleaded,two,hatchback,fwd,2460,132,,31,9895.0
168.0,toyota,unleaded,two,hatchback,rwd,2300,98,112.0,29,9538.0
107.0,honda,unleaded,two,saloon,fwd,2293,110,100.0,31,10345.0
154.0,plymouth,unleaded,four,saloon,fwd,1989,90,68.0,38,6692.0
161.0,peugot,diesel,four,saloon,rwd,3252,152,95.0,33,17950.0
148.0,dodge,unleaded,,saloon,fwd,2191,98,102.0,30,8558.0
102.0,subaru,unleaded,four,saloon,fwd,2340,108,94.0,32,9960.0
108.0,nissan,unleaded,four,saloon,fwd,3060,181,152.0,25,13499.0
115.0,peugot,diesel,four,wagon,rwd,3485,152,95.0,25,17075.0
115.0,alfa-romero,unleaded,two,hatchback,rwd,2823,152,154.0,26,16500.0
153.0,mitsubishi,unleaded,two,hatchback,fwd,2370,110,116.0,30,9959.0
115.0,jaguar,unleaded,two,saloon,rwd,3950,326,262.0,17,36000.0
103.0,volvo,unleaded,four,saloon,rwd,3045,130,162.0,22,18420.0
103.0,volvo,unleaded,four,saloon,rwd,2935,141,114.0,28,15985.0
137.0,mitsubishi,unleaded,four,saloon,fwd,2403,110,116.0,30,9279.0
168.0,toyota,unleaded,two,saloon,rwd,2265,98,112.0,29,9298.0
106.0,honda,unleaded,two,hatchback,fwd,2236,110,86.0,33,7895.0
74.0,volvo,unleaded,four,wagon,rwd,3034,141,114.0,28,13415.0
115.0,mazda,unleaded,four,hatchback,fwd,2425,122,84.0,32,11245.0
118.0,dodge,unleaded,two,hatchback,fwd,2128,98,102.0,30,7957.0
102.0,subaru,unleaded,four,saloon,4wd,2510,108,111.0,29,11259.0
194.0,nissan,unleaded,two,hatchback,rwd,3071,181,160.0,25,17199.0
101.0,honda,unleaded,two,hatchback,fwd,1956,92,76.0,34,7129.0
188.0,bmw,unleaded,two,saloon,rwd,2710,164,121.0,28,20970.0
74.0,volvo,unleaded,four,wagon,rwd,3157,130,162.0,22,18950.0
168.0,toyota,unleaded,two,saloon,rwd,2169,98,70.0,34,8058.0
158.0,audi,unleaded,four,saloon,fwd,2844,136,110.0,25,17710.0
110.0,dodge,unleaded,four,wagon,fwd,2535,122,88.0,30,8921.0
74.0,plymouth,unleaded,four,wagon,fwd,2535,122,88.0,30,8921.0
164.0,audi,unleaded,four,saloon,4wd,2824,136,115.0,22,17450.0
101.0,honda,unleaded,two,hatchback,fwd,1940,92,76.0,34,6529.0
89.0,subaru,unleaded,four,wagon,fwd,2290,108,82.0,32,7463.0
85.0,subaru,unleaded,four,wagon,4wd,2650,108,111.0,23,11694.0
161.0,peugot,diesel,four,saloon,rwd,3252,152,95.0,33,16900.0
