height,weight,age,male,BMI,bmi_category
151.765,47.8256065,63.0,1,20.764297077341553,Normal
139.7,36.4858065,63.0,0,18.695244026851697,Normal
136.525,31.864838,65.0,0,17.095717964286116,Underweight
156.845,53.0419145,41.0,1,21.56144356544479,Normal
145.415,41.276872,51.0,0,19.520384297342652,Normal
163.83,62.992589,35.0,1,23.46943290124787,Normal
149.225,38.2434755,32.0,0,17.174107546947557,Underweight
168.91,55.4799715,27.0,1,19.44578615258197,Normal
147.955,34.869885,19.0,0,15.929099404110497,Underweight
165.1,54.487739,54.0,1,19.98962470114289,Normal
154.305,49.89512,47.0,0,20.95550222362617,Normal
151.13,41.220173,66.0,1,18.047142414459962,Underweight
144.78,36.0322145,73.0,0,17.189918182544893,Underweight
149.9,47.7,20.0,0,21.228294958480213,Normal
150.495,33.849303,65.3,0,14.945332716067343,Underweight
163.195,48.5626935,36.0,1,18.234298891950143,Underweight
157.48,42.3258035,44.0,1,17.066890383780766,Underweight
143.9418,38.3568735,31.0,0,18.512682024697533,Normal
121.92,19.617854,12.0,1,13.197801439005655,Underweight
105.41,13.947954,8.0,0,12.552981238928075,Underweight
86.36,10.489315,6.5,0,14.064421078669145,Underweight
161.29,48.987936,39.0,1,18.831037922476366,Normal
156.21,42.7226965,29.0,0,17.508179526901717,Underweight
129.54,23.586784,13.0,1,14.055973978922202,Underweight
109.22,15.989118,7.0,0,13.403560014259021,Underweight
146.4,35.493574,56.0,1,16.560276322075907,Underweight
148.59,37.9032815,45.0,0,17.167128008008664,Underweight
147.32,35.4652245,19.0,0,16.341024945724094,Underweight
137.16,27.328918,17.0,1,14.52671729074597,Underweight
125.73,22.6796,16.0,0,14.34688309637817,Underweight
114.3,17.860185,11.0,1,13.670786230461351,Underweight
147.955,40.312989,29.0,1,18.415592969630186,Underweight
161.925,55.111428,30.0,1,21.019087242326734,Normal
146.05,37.5063885,24.0,0,17.583370418158605,Underweight
146.05,38.498621,35.0,0,18.04853894773952,Underweight
152.7048,46.606578,33.0,0,19.986734332588085,Normal
142.875,38.838815,27.0,0,19.026262487092872,Normal
142.875,35.5786225,32.0,0,17.429167460804056,Underweight
147.955,47.400364,36.0,0,21.65321479973395,Normal
160.655,47.8823055,24.0,1,18.55182164019283,Normal
151.765,49.4131785,30.0,1,21.45356834961845,Normal
162.8648,49.384829,24.0,1,18.61826012325126,Normal
171.45,56.5572525,52.0,1,19.240365805834493,Normal
147.32,39.12231,42.0,0,18.026070683532573,Underweight
147.955,49.89512,19.0,0,22.79285768393047,Normal
144.78,28.803092,17.0,0,13.741114770625972,Underweight
121.92,20.41164,8.0,1,13.73181652613305,Underweight
128.905,23.359988,12.0,0,14.058309132901117,Underweight
97.79,13.267566,5.0,0,13.874021541262847,Underweight
154.305,41.2485225,55.0,1,17.324008940554588,Underweight
143.51,38.55532,43.0,0,18.720609451556445,Normal
146.7,42.4,20.0,1,19.70178742607764,Normal
157.48,44.6504625,18.0,1,18.004254758509518,Underweight
127.0,22.0105518,13.0,1,13.646569409138817,Underweight
110.49,15.422128,9.0,0,12.632763222984499,Underweight
97.79,12.757275,5.0,0,13.340405328137352,Underweight
165.735,58.5984165,42.0,1,21.333269266265486,Normal
152.4,46.719976,44.0,0,20.115585453393127,Normal
141.605,44.22522,60.0,0,22.05529267781977,Normal
158.8,50.9,20.0,0,20.18444378176373,Normal
155.575,54.317642,37.0,0,22.441986101798108,Normal
164.465,45.8978405,50.0,1,16.96857114439919,Underweight
151.765,48.024053,50.0,0,20.850455986376165,Normal
161.29,52.219779,31.0,1,20.07336334097307,Normal
154.305,47.62716,25.0,0,20.002979395279528,Normal
145.415,45.642695,23.0,0,21.58504032879236,Normal
145.415,42.410852,52.0,0,20.05665859122569,Normal
152.4,36.4858065,79.3,1,15.709198105896212,Underweight
163.83,55.9335635,35.0,1,20.839419943367258,Normal
144.145,37.194544,27.0,0,17.901114635507614,Underweight
129.54,24.550667,13.0,1,14.630376761714695,Underweight
129.54,25.627948,14.0,0,15.272356342482777,Underweight
153.67,48.307548,38.0,1,20.45675818692666,Normal
142.875,37.3362915,39.0,0,18.29020999671629,Underweight
146.05,29.596878,12.0,0,13.875312710927878,Underweight
167.005,47.173568,30.0,1,16.91374497554761,Underweight
